No,Periode,Data Inflasi
1,Oktober 2022,5.71 %
2,September 2022,5.95 %
3,Agustus 2022,4.69 %
4,Juli 2022,4.94 %
5,Juni 2022,4.35 %
6,Mei 2022,3.55 %
7,April 2022,3.47 %
8,Maret 2022,2.64 %
9,Februari 2022,2.06 %
10,Januari 2022,2.18 %
11,Desember 2021,1.87 %
12,November 2021,1.75 %
13,Oktober 2021,1.66 %
14,September 2021,1.6 %
15,Agustus 2021,1.59 %
16,Juli 2021,1.52 %
17,Juni 2021,1.33 %
18,Mei 2021,1.68 %
19,April 2021,1.42 %
20,Maret 2021,1.37 %
21,Februari 2021,1.38 %
22,Januari 2021,1.55 %
23,Desember 2020,1.68 %
24,November 2020,1.59 %
25,Oktober 2020,1.44 %
26,September 2020,1.42 %
27,Agustus 2020,1.32 %
28,Juli 2020,1.54 %
29,Juni 2020,1.96 %
30,Mei 2020,2.19 %
31,April 2020,2.67 %
32,Maret 2020,2.96 %
33,Februari 2020,2.98 %
34,Januari 2020,2.68 %
